ANO,MES,COD_NCM,COD_UNIDADE,COD_PAIS,SG_UF,COD_VIA,COD_URF,VL_QUANTIDADE,VL_PESO_KG,VL_FOB,MOVIMENTACAO
2020,10,24012030,10,676,RS,1,1017700,613800,613800,1904316,Exportação
2020,10,73182900,10,63,RS,7,1017500,257,257,1942,Exportação
2020,2,85353019,11,97,SP,4,817600,1,0,69,Exportação
2020,1,49019900,10,589,SP,4,817600,292,292,11263,Exportação
2020,6,84148011,11,97,SP,7,147600,3,30,1841,Exportação
2020,12,84212300,11,169,SP,1,817800,6642,2004,38886,Exportação
2020,7,4011010,10,580,SP,0,817800,547,540,417,Exportação
2020,7,44123900,16,764,PR,0,917800,345,192238,107065,Exportação
2020,2,94054010,10,493,MG,1,817800,1738,1738,15354,Exportação
2020,7,11041900,10,399,GO,1,817800,3450,3450,2336,Exportação
2020,7,84249090,10,845,SP,7,1017701,3,3,209,Exportação
2020,11,38099110,10,249,SP,4,817700,575,575,51252,Exportação
2020,9,85059010,11,63,SP,1,817800,3,7,80,Exportação
2020,11,90269090,10,455,SP,4,817600,7,7,3482,Exportação
2020,10,40091290,10,756,SP,1,817800,0,0,4,Exportação
2020,4,94032000,11,728,SC,1,927700,2,37,129,Exportação
2020,1,85122022,11,589,SP,1,817800,685,152,4688,Exportação
2020,5,28092011,10,586,SP,7,917500,23726,23726,25970,Exportação
2020,1,84073390,11,386,MG,1,717600,1512,110830,1830776,Exportação
2020,5,8031000,10,628,SP,0,817800,30,30,27,Exportação
2020,4,18069000,10,351,SP,12,817800,17,17,125,Exportação
2020,7,4029900,10,434,MA,0,317903,32,32,69,Exportação
2020,8,22030000,17,351,PR,0,917800,476,468,883,Exportação
2020,1,8071900,10,351,SP,0,817800,874,789,1273,Exportação
2020,3,82019000,10,589,RS,1,1017700,527,527,2611,Exportação
2020,10,32074010,10,245,SC,1,927800,20000,20000,32600,Exportação
2020,2,90328981,11,756,SP,1,817800,29,1,90,Exportação
2020,10,74152100,10,240,SP,4,817700,0,0,45,Exportação
2020,12,84099999,10,169,SP,1,817800,258,258,7132,Exportação
2020,12,39269090,10,850,RR,7,260151,2,2,84,Exportação
2020,11,90259090,10,538,RS,4,817700,0,0,69,Exportação
2020,3,71039900,19,249,RS,4,817700,2467575,490,18682,Exportação
2020,7,90275090,11,845,SC,7,1017701,13,3,222,Exportação
2020,3,20091100,10,776,SP,1,817800,200870,200870,313927,Exportação
2020,9,19021900,10,580,RJ,0,717600,5,5,12,Exportação
2020,9,84099190,10,169,SP,0,817700,0,0,116,Exportação
2020,6,40093290,10,317,SP,4,817700,4,4,56,Exportação
2020,8,61169900,13,163,SP,0,817800,50,41,250,Exportação
2020,11,94036000,11,845,SC,7,1017701,1137,24927,53870,Exportação
